"certified","forum.posts","grade","assignment"
"no",121,4,12
"yes",177,3,17
"no",139,2,8
"yes",27,3,15
"yes",93,6,17
"yes",9,3,13
"no",158,6,15
"yes",97,4,16
"yes",15,4,16
"no",82,2,11
"no",120,5,16
"yes",130,2,9
"yes",2,3,16
"yes",158,3,16
"yes",158,7,6
"yes",130,3,13
"yes",1,4,14
"yes",1,7,9
"yes",118,3,1
"yes",42,7,15
"no",73,4,12
"yes",20,4,1
"yes",168,3,16
"yes",42,3,13
"yes",127,4,5
"yes",72,5,1
"yes",9,5,13
"yes",61,5,14
"no",158,7,16
"yes",1,5,13
"yes",18,7,12
"yes",81,3,1
"no",18,5,16
"yes",125,5,16
"no",175,3,17
"no",2,5,13
"no",178,3,12
"yes",87,4,11
"yes",37,2,15
"yes",206,4,1
"no",140,4,12
"yes",158,5,15
"yes",26,5,14
"no",78,3,14
"yes",195,4,15
"yes",140,3,1
"yes",26,6,1
"yes",136,6,1
"yes",112,4,15
"yes",87,3,13
"yes",206,4,16
"yes",71,4,16
"yes",1,5,13
"yes",20,3,6
"no",93,3,8
"no",102,3,12
"yes",121,2,16
"yes",87,5,12
"yes",159,3,11
"yes",177,4,8
"yes",31,5,13
"yes",125,5,9
"yes",91,5,13
"yes",139,10,5
"yes",31,7,16
"yes",157,4,15
"yes",177,2,16
"no",102,4,5
"yes",72,2,14
"yes",71,7,16
"no",18,5,16
"yes",127,5,13
"yes",100,7,18
"yes",35,3,16
"no",15,5,13
"no",1,3,9
"yes",20,4,14
"yes",73,4,16
"no",71,5,3
"yes",120,5,3
"yes",140,2,16
"yes",17,4,12
"yes",71,5,14
"yes",151,2,15
"yes",178,5,9
"yes",20,3,15
"yes",178,3,1
"yes",120,4,15
"yes",71,4,14
"yes",9,4,9
"yes",18,3,16
"yes",42,4,17
"yes",61,7,5
"no",177,2,13
"yes",20,3,6
"yes",118,4,5
"yes",18,2,2
"no",102,2,3
"yes",17,3,2
"yes",42,4,13
"yes",31,5,16
"no",178,3,13
"yes",112,6,15
"yes",139,3,6
"yes",87,5,16
"yes",158,5,16
"no",130,3,15
"yes",35,2,16
"no",36,4,16
"yes",127,3,1
"yes",93,3,1
"yes",159,5,3
"yes",26,4,11
"yes",112,7,14
"yes",81,5,12
"yes",100,3,16
"yes",71,4,12
"yes",37,7,10
"no",51,3,16
"yes",175,7,15
"yes",27,3,6
"yes",1,2,3
"yes",195,5,14
"yes",59,2,1
"yes",168,3,13
"no",100,4,6
"yes",61,5,16
"yes",158,3,16
"yes",113,5,16
"yes",1,5,12
"yes",9,4,16
"yes",121,2,5
"yes",27,3,16
"yes",125,2,15
"no",136,3,16
"no",71,3,3
"no",87,4,16
"yes",143,2,16
"no",151,2,16
"yes",140,2,16
"yes",15,2,16
"yes",206,3,16
"yes",20,3,16
"yes",130,4,14
"yes",195,2,1
"yes",20,4,16
"yes",130,5,17
"yes",91,4,16
"yes",96,4,16
"yes",131,6,18
"yes",136,2,13
"yes",127,4,9
"yes",52,5,6
"yes",159,4,17
"yes",59,2,15
"no",158,3,2
"no",97,4,13
"yes",158,3,12
"no",36,2,13
"yes",97,3,16
"yes",72,4,10
"yes",102,5,13
"yes",168,4,8
"yes",148,5,16
"no",1,7,12
"yes",2,2,6
"yes",178,5,16
"no",20,4,15
"yes",127,5,8
"yes",96,2,8
"no",96,5,15
"yes",73,5,9
"yes",1,4,15
"no",121,7,6
"no",136,3,16
"no",31,4,11
"yes",120,3,1
"yes",175,3,17
"yes",131,4,6
"yes",1,3,15
"yes",68,5,12
"yes",131,5,16
"no",18,4,13
"yes",158,5,1
"yes",112,2,9
"no",114,4,6
"yes",87,5,10
"yes",140,2,16
"no",80,2,13
"yes",20,10,10
"yes",9,2,14
"no",136,3,13
"no",113,4,16
"yes",105,3,16
"yes",59,3,15
"yes",2,4,1
"yes",1,4,13
"no",31,2,12
"yes",151,2,6
"yes",158,5,13
"no",42,5,6
"yes",73,5,16
"yes",118,3,17
"yes",177,5,13
"no",112,3,14
"yes",68,4,16
"no",91,5,15
"yes",18,3,1
"no",175,4,17
"yes",125,2,8
"yes",178,3,18
"no",2,7,16
"yes",87,7,16
"yes",42,6,10
"yes",131,4,16
"yes",127,2,16
"yes",36,3,16
"yes",151,4,13
"yes",91,6,3
"yes",73,2,15
"yes",143,2,16
"yes",15,2,14
"yes",178,4,16
"yes",158,5,5
"yes",112,2,18
"yes",18,2,13
"yes",97,6,16
"yes",151,5,5
"yes",35,7,10
"yes",2,4,13
"yes",35,2,15
"yes",97,7,12
"yes",195,4,13
"yes",37,4,13
"yes",4,5,16
"yes",1,7,3
"yes",22,4,13
"yes",1,3,10
"yes",11,4,14
"no",87,2,12
"no",158,4,15
"yes",61,4,6
"yes",100,5,14
"yes",42,4,16
"yes",4,5,14
"yes",2,4,18
"no",1,4,17
"yes",37,4,9
"yes",136,3,16
"yes",81,5,14
"yes",195,4,9
"yes",80,5,16
"yes",158,7,13
"no",18,7,13
"yes",52,2,1
"yes",81,3,13
"yes",61,5,6
"yes",1,5,5
"yes",1,5,16
"yes",1,4,13
"yes",31,3,13
"yes",102,7,15
"no",81,5,11
"no",130,3,16
"no",2,3,5
"yes",18,10,5
"yes",1,4,17
"yes",114,2,15
"yes",17,3,13
"yes",18,4,14
"yes",27,5,17
"yes",36,4,10
"yes",148,2,17
"yes",59,3,3
"yes",96,5,16
"yes",120,4,14
"yes",140,4,10
"yes",118,4,9
"yes",9,4,6
"yes",140,4,9
"no",27,5,13
"yes",37,3,2
"yes",52,9,8
"yes",136,3,14
"yes",93,5,17
"yes",136,3,13
"no",11,4,13
"no",158,4,14
"no",118,3,15
"yes",118,4,18
"yes",131,2,13
"yes",105,3,16
"yes",128,4,16
"yes",36,5,3
"yes",80,4,16
"yes",31,9,16
"no",121,6,16
"yes",1,4,13
"yes",159,5,15
"yes",178,2,13
"yes",136,4,15
"yes",127,4,16
"yes",2,4,2
"yes",72,10,14
"yes",1,4,11
"no",120,5,15
"no",143,2,16
"no",52,3,14
"yes",11,3,13
"no",20,6,15
"yes",140,3,16
"no",105,7,5
"no",159,2,6
"yes",178,2,13
"yes",93,4,16
"no",118,3,14
"yes",37,2,16
"yes",82,5,15
"yes",72,5,1
"yes",78,4,14
"yes",22,10,15
"no",2,7,11
"yes",96,9,18
"yes",27,3,13
"yes",1,2,16
"yes",195,6,16
"yes",15,3,16
"yes",20,3,3
"yes",9,3,13
"yes",72,2,16
"yes",118,4,12
"yes",118,5,11
"no",148,3,16
"no",4,3,13
"yes",61,5,13
"yes",15,7,16
"yes",78,5,15
"no",36,2,10
"no",168,4,14
"no",125,6,18
"yes",120,3,16
"yes",18,7,2
"yes",131,2,2
"no",112,2,16
"no",118,4,9
"no",1,4,9
"yes",18,5,10
"yes",78,4,16
"yes",42,4,13
"yes",120,3,14
"yes",20,4,12
"yes",120,4,16
"yes",159,3,16
"no",87,3,6
"yes",140,3,16
"yes",102,3,9
"yes",178,6,15
"yes",1,4,13
"no",80,3,16
"no",140,5,6
"yes",120,5,9
"yes",1,3,17
"no",68,4,16
"yes",130,3,16
"yes",35,3,13
"yes",131,3,13
"yes",118,6,8
"no",37,2,13
"yes",158,5,11
"no",73,4,3
"yes",1,7,1
"yes",87,5,6
"yes",78,3,17
"yes",80,4,16
"yes",140,3,3
"no",22,7,16
"yes",15,6,9
"no",118,2,13
"yes",1,3,13
"no",105,4,13
"yes",139,5,6
"yes",1,5,10
"yes",130,4,13
"yes",206,3,16
"yes",158,3,10
"yes",96,5,12
"yes",27,2,13
"yes",1,4,13
"yes",27,4,3
"yes",130,4,13
"yes",93,3,13
"yes",71,5,6
"no",4,2,9
"no",18,2,12
"no",15,3,13
"yes",127,3,12
"yes",139,4,13
"yes",158,7,12
"yes",22,4,14
"yes",118,2,9
"yes",17,3,13
"yes",80,4,13
"yes",118,3,12
"yes",15,3,6
"yes",9,4,14
"yes",120,4,3
"no",96,4,16
"yes",118,4,9
"no",81,9,1
"no",148,2,11
"yes",37,6,16
"yes",114,4,11
"yes",61,4,13
"yes",118,4,10
"yes",1,6,16
"yes",1,3,2
"yes",128,2,11
"yes",136,4,15
"yes",2,4,16
"yes",82,3,16
"yes",9,5,14
"yes",36,5,3
"yes",80,3,9
"yes",151,3,8
"yes",158,4,16
"yes",159,6,16
"yes",102,3,16
"no",140,2,9
"yes",2,4,2
"yes",15,2,3
"yes",120,2,13
"yes",114,3,13
"yes",15,5,3
"yes",175,3,16
"yes",42,5,9
"yes",158,3,10
"yes",125,4,12
"yes",151,4,16
"yes",157,5,16
"yes",1,3,15
"no",127,3,16
"yes",151,2,16
"no",168,4,11
"yes",120,7,17
"yes",118,2,12
"no",120,7,16
"yes",8,5,3
"no",136,2,16
"yes",178,4,13
"no",68,3,15
"yes",78,3,8
"no",2,3,11
"yes",158,2,16
"yes",158,4,16
"no",35,3,17
"yes",18,3,10
"yes",59,7,16
"yes",136,2,16
"no",27,5,12
"yes",175,3,17
"yes",15,3,15
"yes",195,4,16
"yes",178,5,1
"yes",168,7,16
"yes",114,5,10
"yes",121,3,11
"yes",11,5,16
"no",11,4,2
"yes",18,3,16
"yes",31,3,11
"no",113,5,11
"yes",102,4,16
"yes",139,3,13
"no",168,4,5
"no",158,3,13
"yes",120,5,9
"yes",168,5,13
"yes",27,2,16
"yes",114,5,9
"no",195,2,17
"no",178,5,1
"yes",4,4,17
"yes",96,4,9
"yes",82,4,17
"yes",120,5,16
"yes",112,4,12
"yes",9,4,14
"yes",112,7,14
"yes",118,6,2
"yes",52,6,16
"no",168,5,15
"yes",1,4,12
"yes",125,3,13
"yes",37,4,16
"no",120,4,16
"yes",18,5,6
"yes",61,2,3
"yes",97,7,15
"no",59,10,9
"yes",151,5,13
"yes",139,5,1
"yes",158,5,10
"no",157,2,13
"yes",17,4,5
"no",51,4,9
"yes",9,4,16
"yes",22,2,3
"yes",35,7,12
"yes",36,5,10
"yes",130,2,15
"yes",52,5,3
"yes",4,3,9
"yes",120,2,1
"yes",2,4,1
"yes",1,5,16
"yes",125,7,1
"yes",113,5,6
"yes",158,9,13
"yes",17,7,13
"yes",139,2,13
"yes",120,7,15
"yes",27,3,13
"no",159,3,17
"yes",120,2,9
"no",97,7,12
"no",97,5,13
"yes",11,2,10
"yes",71,5,8
"yes",139,3,16
"yes",136,4,13
"yes",91,4,10
"yes",2,3,9
"yes",73,5,16
"yes",100,2,18
"yes",80,7,18
"no",114,4,13
"yes",128,3,15
"no",131,4,6
"yes",97,3,12
"no",61,4,12
"no",118,2,14
"no",61,5,16
"yes",97,6,6
"no",140,3,13
"no",130,4,5
"yes",120,4,16
"yes",177,4,15
"no",61,5,17
"yes",158,2,10
"no",131,4,16
"yes",139,3,13
"yes",114,3,3
"yes",4,6,18
"yes",4,5,15
"yes",151,3,17
"yes",22,4,16
"yes",140,6,1
"yes",37,6,11
"yes",22,3,16
"yes",1,3,14
"no",80,4,13
"no",52,4,13
"yes",87,2,2
"yes",9,3,13
"yes",120,3,12
"yes",131,3,15
"yes",131,4,6
"yes",140,2,13
"yes",1,4,8
"no",121,4,13
"no",97,3,5
"yes",17,3,12
"yes",1,5,14
"yes",158,7,9
"yes",20,3,16
"no",114,5,13
"no",114,2,16
"no",97,2,9
"yes",130,3,8
"yes",168,3,11
"yes",15,4,3
"yes",140,7,2
"yes",93,3,6
"no",140,3,15
"yes",206,4,10
"yes",91,4,14
"yes",159,3,10
"yes",8,3,1
"yes",18,5,16
"no",128,5,10
"yes",128,4,6
"yes",177,4,6
"yes",81,5,13
"yes",22,2,13
"yes",195,5,10
"yes",140,2,3
"yes",61,4,15
"no",131,5,5
"yes",81,5,14
"yes",1,3,5
"yes",206,4,13
"yes",177,3,3
"no",2,6,5
"no",114,5,16
"yes",168,5,16
"yes",139,2,16
"yes",97,4,13
"no",73,3,11
"yes",22,3,16
"yes",121,3,13
"no",91,3,13
"yes",114,4,15
"yes",18,2,16
"yes",131,4,13
"yes",159,2,3
"yes",51,5,8
"yes",37,4,1
"yes",1,5,12
"yes",93,2,16
"no",112,3,12
"yes",113,4,13
"yes",1,4,16
"yes",82,10,16
"yes",2,6,14
"no",118,4,13
"yes",71,3,13
"yes",11,9,9
"yes",59,5,16
"yes",121,5,13
"yes",143,2,16
"yes",42,4,8
"yes",11,4,13
"yes",120,3,16
"yes",87,9,16
"yes",80,5,16
"yes",158,3,9
"yes",87,2,14
"no",9,5,11
"yes",121,5,14
"no",52,6,16
"yes",131,2,17
"yes",114,6,16
"yes",61,3,16
"yes",125,4,17
"no",130,3,16
"yes",37,6,16
"no",37,2,13
"no",102,5,16
"no",140,4,16
"yes",96,7,6
"yes",130,3,16
"yes",127,5,12
"yes",178,7,8
"yes",35,5,11
"yes",178,4,16
"yes",148,4,17
"yes",140,4,13
"yes",37,5,9
"no",143,5,16
"no",148,4,15
"yes",18,4,14
"yes",2,3,16
"yes",22,7,16
"yes",4,3,16
"yes",97,7,1
"yes",100,3,13
"yes",97,5,10
"yes",26,5,15
"yes",4,3,11
"yes",18,2,14
"no",18,3,16
"yes",80,7,13
"no",18,5,3
"no",151,3,11
"yes",1,4,3
"yes",120,4,15
"yes",148,6,12
"yes",22,5,17
"yes",37,2,13
"yes",130,4,10
"yes",121,3,12
"yes",2,3,16
"yes",114,3,16
"yes",91,10,14
"yes",1,4,6
"yes",1,3,16
"yes",11,3,15
"no",140,2,1
"no",4,2,16
"yes",96,5,3
"yes",31,4,16
"yes",178,5,2
"yes",27,4,15
"no",2,3,15
"yes",78,4,5
"yes",100,5,1
"no",177,3,12
"yes",114,5,14
"yes",158,2,15
"yes",1,5,15
"yes",87,4,14
"yes",143,9,8
"no",136,2,15
"yes",17,3,15
"yes",206,5,13
"no",130,5,16
"yes",1,4,16
"yes",131,3,8
"no",140,2,3
"yes",140,3,16
"yes",177,2,12
"yes",96,6,17
"yes",51,5,11
"yes",22,4,18
"yes",4,4,1
"no",158,5,16
"yes",2,10,14
"yes",35,3,15
"yes",118,4,1
"yes",143,5,13
"yes",17,4,16
"no",128,2,16
"yes",11,7,13
"yes",140,3,13
"yes",82,3,12
"no",130,7,8
"yes",36,10,15
"yes",8,4,16
"yes",97,3,16
"no",52,9,10
"yes",120,6,16
"yes",113,2,15
"yes",9,4,8
"yes",118,3,10
"yes",18,7,13
"no",71,5,15
"yes",71,3,16
"yes",177,2,5
"yes",15,2,13
"yes",105,9,17
"yes",1,5,15
"yes",37,4,16
"yes",139,4,10
"yes",22,5,12
"yes",113,6,10
"no",59,5,16
"yes",87,4,9
"yes",143,4,16
"yes",136,3,17
"yes",42,4,1
"yes",8,5,14
"no",136,3,16
"yes",26,5,13
"no",1,4,16
"yes",20,3,12
"yes",120,4,6
"yes",139,5,16
"yes",140,4,16
"yes",9,2,2
"yes",61,3,6
"yes",177,3,14
"yes",2,3,6
"yes",15,5,10
"yes",136,3,16
"yes",18,2,1
"yes",68,3,2
"yes",118,3,13
"yes",22,4,9
"yes",51,2,1
"no",2,4,18
"yes",121,4,5
"yes",112,6,17
"yes",37,7,8
"yes",168,5,15
"no",130,4,10
"yes",125,7,10
"yes",96,5,9
"no",130,3,13
"yes",82,3,13
"yes",130,2,2
"yes",15,5,3
"yes",114,5,1
"yes",96,3,16
"no",68,2,9
"yes",9,5,12
"no",87,5,18
"yes",168,7,16
"yes",157,5,16
"yes",131,5,1
"yes",61,2,12
"yes",2,3,13
"yes",148,6,17
"yes",81,3,10
"yes",71,3,16
"yes",105,6,16
"no",105,5,13
"yes",87,3,15
"yes",130,7,12
"yes",81,4,8
"yes",151,3,11
"yes",1,4,9
"yes",93,3,17
"yes",206,5,6
"yes",177,4,1
"yes",128,6,15
"yes",140,3,6
"yes",158,7,6
"yes",1,5,6
"no",61,2,1
"yes",51,6,13
"yes",68,2,1
"no",148,3,13
"yes",128,3,16
"yes",22,2,13
"yes",178,3,8
"yes",100,4,16
"yes",51,3,1
"no",175,5,14
"yes",27,4,16
"yes",140,3,14
"yes",158,3,12
"yes",105,3,11
"yes",72,5,8
"no",2,3,15
"no",118,2,16
"yes",113,5,1
"no",131,5,2
"no",42,5,17
"no",97,3,13
"yes",128,2,16
"yes",4,5,13
"no",59,3,12
"yes",158,4,8
"no",26,5,15
"yes",130,5,13
"yes",61,3,17
"yes",20,4,14
"yes",1,5,6
"no",120,7,13
"yes",121,10,13
"yes",157,3,13
"yes",18,7,16
"yes",51,2,15
"yes",51,3,15
"no",158,5,12
"yes",102,4,12
"yes",100,2,10
"yes",20,6,6
"yes",130,5,16
"yes",71,3,9
"yes",96,3,6
"yes",17,3,16
"yes",87,2,16
"no",112,5,8
"yes",120,4,10
"yes",131,5,17
"yes",158,5,15
"yes",1,2,5
"yes",139,2,13
"yes",127,2,6
"yes",139,4,13
"yes",17,3,16
"yes",9,4,16
"yes",72,5,16
"yes",175,3,5
"yes",96,4,13
"yes",61,5,10
"yes",97,5,13
"yes",158,3,16
"yes",118,3,11
"yes",61,3,13
"yes",87,2,14
"yes",26,3,2
"no",15,4,1
"no",178,2,13
"no",2,3,1
"yes",102,5,16
"yes",80,5,10
"yes",72,7,16
"no",139,3,16
"no",9,5,2
"yes",113,4,18
"yes",1,2,11
"yes",148,3,15
"yes",125,7,15
"yes",8,4,14
"yes",112,5,16
"yes",120,3,11
"yes",2,3,2
"yes",121,3,13
"yes",158,2,12
"yes",121,4,9
"yes",82,3,13
"yes",52,4,12
"no",148,4,10
"yes",9,2,9
"no",8,4,16
"yes",61,4,13
"yes",120,5,14
"yes",143,7,13
"no",31,7,1
"yes",128,3,10
"yes",125,4,13
"yes",72,2,11
"yes",51,3,2
"no",168,4,10
"yes",59,5,3
"yes",72,4,15
"no",72,5,13
"no",37,5,2
"no",114,4,16
"yes",35,2,16
"yes",17,4,8
"yes",87,4,8
"yes",81,3,14
"yes",82,5,15
"yes",22,6,14
"yes",59,7,1
"yes",131,5,13
"no",140,5,18
"yes",143,5,15
"yes",102,2,1
"no",1,3,14
"yes",143,4,3
"yes",4,4,8
"yes",151,7,1
"yes",206,4,5
"yes",91,2,3
"yes",8,6,16
"yes",157,3,16
"yes",82,5,10
"yes",36,5,17
"yes",178,5,1
"yes",71,6,1
"yes",17,5,13
"yes",2,5,3
"no",73,3,9
"yes",168,3,16
"no",140,3,16
"yes",148,5,16
"yes",11,6,10
"yes",81,4,17
"yes",20,5,9
"yes",121,2,11
"yes",140,3,15
"yes",9,5,16
"yes",80,10,16
"yes",157,4,3
"yes",2,5,13
"no",15,4,9
"yes",2,5,12
"yes",18,4,13
"yes",2,6,16
"yes",121,2,14
"yes",78,5,16
"yes",8,4,16
"yes",102,5,17
"yes",1,5,17
"yes",148,3,16
"no",1,5,9
"yes",178,5,16
"yes",195,4,8
"yes",61,4,13
"yes",42,7,12
"yes",140,7,3
"yes",9,4,9
"yes",26,3,13
"no",157,5,14
"yes",128,6,17
"yes",8,3,17
"yes",37,3,13
"yes",112,3,2
"no",22,3,13
"yes",17,4,8
"yes",140,2,11
"yes",1,3,17
"no",8,7,13
"yes",2,6,13
"yes",35,4,11
"yes",140,4,1
"yes",114,2,9
"yes",121,9,16
"yes",125,3,3
"yes",2,6,1
"yes",131,7,2
"yes",93,5,1
"yes",121,5,16
"yes",4,9,1
"yes",22,4,16
"yes",120,3,14
"yes",71,4,8
"yes",11,3,14
"yes",36,2,13
"no",91,5,12
"yes",206,2,8
"no",168,6,15
"yes",1,2,2
"no",112,3,9
"yes",113,5,16
"yes",102,3,13
"yes",36,2,14
"yes",2,2,13
"yes",113,3,1
"yes",127,5,15
"yes",37,5,13
"yes",100,5,9
"no",151,3,15
"yes",143,3,13
"no",61,4,16
"yes",2,3,3
"no",93,6,16
"yes",9,3,13
"yes",15,5,12
"yes",17,4,13
"yes",140,3,16
"yes",18,5,6
"yes",68,3,10
"yes",158,2,1
"yes",112,4,13
"yes",36,5,13
"yes",140,5,13
"no",26,3,13
"yes",59,3,14
"yes",31,7,15
"yes",121,7,10
"yes",9,2,15
"yes",18,4,13
"no",127,3,11
"yes",61,10,15
"no",131,3,3
"no",18,2,16
"yes",1,3,15
"yes",120,4,13
"yes",195,4,17
"no",52,2,16
"yes",140,7,11
"yes",73,3,6
"yes",9,4,10
"no",148,3,16
"yes",51,5,16
"yes",61,2,16
"no",9,2,16
"no",130,6,14
"yes",73,7,1
"yes",151,3,12
"no",100,4,3
"yes",139,3,16
"yes",158,7,9
"yes",113,2,9
"yes",11,2,12
"yes",18,5,13
"yes",175,3,15
"yes",31,4,16
"yes",31,4,3
"yes",151,2,14
"yes",96,4,16
"yes",15,3,16
"no",102,3,1
"yes",2,4,16
"no",178,4,10
"yes",71,5,9
"yes",118,4,2
"yes",42,3,6
"yes",4,4,5
"yes",71,5,12
"no",4,3,16
"yes",175,3,17
"yes",81,4,16
"yes",59,2,3
"yes",31,5,13
"yes",143,3,17
"yes",52,5,16
"yes",130,5,12
"yes",93,2,2
"yes",128,5,12
"yes",73,4,16
"yes",9,2,10
"yes",120,2,14
"yes",37,3,18
"no",1,2,15
"yes",18,4,6
"yes",80,3,17
"yes",31,4,13
"yes",102,7,10
"yes",9,3,9
"yes",27,2,16
"yes",121,5,1
"yes",97,3,8
"yes",2,3,6
"yes",97,2,15
"yes",20,3,6
"yes",130,4,8
"yes",159,4,16
"yes",91,4,9
"yes",97,5,13
"yes",37,4,13
"yes",143,3,15
"yes",178,6,6
"yes",42,5,11
"yes",139,5,16
"yes",120,5,16
"yes",158,3,6
"yes",4,3,16
"yes",112,2,13
"yes",102,3,13
"yes",96,3,5
"yes",1,9,6
"no",114,4,16
"yes",80,4,16
"yes",127,7,15
"yes",130,3,9
"yes",20,3,6
"yes",112,9,16
"yes",37,5,15
"yes",9,3,16
"yes",87,2,6
"no",87,5,1
"yes",26,3,5
"yes",1,10,16
"yes",128,4,6
"no",82,7,16
"yes",18,4,10
"yes",128,3,13
"no",118,3,11
"yes",157,5,12
"yes",52,3,6
"yes",206,2,17
"no",26,5,1
"no",127,5,15
"yes",96,5,12
"no",140,2,15
"yes",68,3,15
"no",140,3,16
"yes",131,5,12
"yes",18,5,6
"yes",52,10,13
"yes",82,5,16
"no",80,6,16
"yes",8,4,10
"yes",15,5,16
"no",61,4,13
"yes",177,4,15
"yes",78,6,6
"yes",2,5,16
"no",118,3,15
"yes",87,4,17
"no",120,3,5
"no",125,5,16
"yes",36,3,6
"yes",120,7,3
"yes",2,3,14
"yes",81,10,1
"yes",2,4,1
"yes",35,7,8
"yes",140,3,3
"yes",27,2,18
"yes",18,7,15
"yes",168,4,14
"yes",36,9,6
"yes",127,5,15
"yes",82,5,12
"yes",36,3,16
"yes",127,5,16
"yes",2,5,11
"yes",131,2,12
"yes",118,6,10
"yes",42,3,18
"no",112,3,17
"no",1,2,14
"yes",130,2,13
"no",2,3,12
"yes",1,4,6
"no",93,3,13
"yes",80,3,9
"no",4,2,17
"yes",128,2,14
"yes",31,4,13
"yes",2,4,12
"yes",11,4,6
"yes",1,5,1
